Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location
Fore Dynamics,2,200,,,,Small,LEO,Rocket,USA,"Placentia, CA"
Independence-X Aerospace,2,200,4.500,"22,500",,Small,LEO,Rocket,Malaysia,Kuala Lumpur
INNOSPACE,2,500,0.000,"25,000",1.50,Small,LEO,Rocket,South Korea,Sejong City
IO Aircraft,2,"63,500",28.000,441,,"Medium, Heavy",LEO,Spaceplane,USA,"Ankeny, IA"
LIA Aerospace,2,150,,"25,000",,Small,LEO,Rocket,Argentina,-
LongShot,2,0,,,,Small,LEO,Other,USA,-
New Rocket Technologies,2,500,9.000,"18,000",,Small,LEO,Rocket,Russia,Moscow
Odyne Space,2,150,,,,Small,LEO,Rocket,USA,"Portland, OR"
POLARIS,2,"1,150",,,,Small,LEO,Spaceplane,Germany,-
S-Motor,2,160,,,,Small,LEO,Rocket,China,Beijing
Space Ops,2,10,,,,Small,LEO,Rocket,Australia,"Redfern, New South Wales"
SpaceHorizon,2,"1,200",,,,Small,LEO,Rocket,Canada,"Ottawa, Ontario"
STAR Orbitals,2,150,,,,Small,LEO,Rocket,India,"Surat, Gujarat"
T-Minus,2,1,,,,Small,Suborbital,Rocket,Netherlands,Delft
Tachyon Aerospace,2,,,,,,LEO,Other,United Kingdom,"London, England"
VALT Enterprises,2,25,1.700,"68,000",,Small,LEO,Rocket,USA,"Sanford, ME"
Vector,2,200,,,,Small,LEO,Rocket,USA,"Tucson, AZ"
Vogue Aerospace,2,500,2.000,"4,000",0.10,Small,LEO,Rocket,USA,"Naples, FL"
Wave Motion Launch,2,"45,360",,,,Heavy,LEO,Other,USA,"Seattle, WA"
AvalonSpace,1,,,,,,,Rocket,United Kingdom,"Bristol, England"
CubeSat Solutions,1,50,,,,Small,Suborbital,Rocket,Thailand,Chiang Mai
Dark,1,200,5.000,"25,000",-,Small,LEO,"Plane, Rocket",France,-
Eclipse Orbital,1,"1,350",10.000,"7,407",,Small,LEO,Rocket,USA,"Reno, NV"
Enter Space,1,"3,000",,"1,000",,Medium,LEO,Spaceplane,Australia,"Sydney, New South Wales"
Fenix Space,1,,,,,,LEO,"Plane, Rocket",USA,"San Bernardino, CA"
Forever Space,1,,0.050,,,Small,Lunar,Other,USA,"San Francisco, CA"
Hybrid Propulsion,1,250,4.000,"16,000",,Small,LEO,Rocket,France,Talence
HyperMach Aerospace Holdings,1,"45,360",,,,Heavy,LEO,Spaceplane,United States,"Los Angeles, CA"
Jarmyn Enterprise Space,1,50,,,,Small,LEO,Rocket,Australia,"Mawson Lakes, South Australia"
Launch Tech Space,1,,,,,Small,LEO,Other,USA,"Pasadena, CA"
Marcom,1,"1,000",8.000,"8,000",,Small,LEO,Rocket,South Africa,Johannesburg
New Ascent,1,,,,0.11,,,Other,USA,"Annapolis, MD"
OmSpace Rocket and Exploration,1,,,,,Small,LEO,Rocket,India,"Bharuch, Gujarat"
Project S3,1,250,,,,Small,,Spaceplane,Croatia,Zagreb
Rocketplane Global,1,"3,000",,,,Medium,LEO,Spaceplane,USA,"Green Bay, WI"
Rocketsan,1,100,,,,Small,LEO,Rocket,Turkey,Ankara
Seres Space Exploration Technology,1,"20,000",,,,Heavy,LEO,Rocket,China,Beijing
ShipInSpace,1,"20,000",0.000,"2,000",,Heavy,LEO,Rocket,United Kingdom,"Witney, England"
Spaceborne,1,,,,,,LEO,Rocket,Uzbekistan,Tashkent
SpaceTrek,1,240,,,,Small,LEO,Rocket,China,Beijing
Stratobooster,1,,,,,Small,LEO,"Balloon, Rocket",United Kingdom,"Middlesbrough, England"
Suborbitality,1,75,,"5,000",,Small,Suborbital,Rocket,Czech Republic,Prague
Trans Space Travels,1,,,,,,Suborbital,Spaceplane,Germany,Bayreuth
Deywoss One,0,200,,,,Small,LEO,Spaceplane,USA,"Merepoint, ME"
Halo Aerospace,0,,,,,,Suborbital,"Balloon, Rocket",USA,"West Palm Beach, FL"
LEO Launcher,0,680,,,,Small,LEO,"Plane, Rocket",USA,"Houston, TX"
Orbspace,0,,,,,Tourism,Suborbital,Rocket,Japan,"Tsukuba, Ibaraki"
Space One,0,,,,,,LEO,Other,Luxembourg,Luxembourg
Space Railway Corporation,0,,,,,,LEO,Other,USA,"Fort Worth, TX"
The Rocket & Satellite Company,0,,,,,,LEO,Rocket,Pakistan,Karachi
Timewarp Space,0,150,,,,Small,LEO,Rocket,India,"Bangalore, Karnataka"
United Frontiers,0,500,,"2,000",-,Small,LEO,Rocket,USA,"Port Canaveral, FL"
